Hypothesis,Measure,IV,Coefficient,Std_Error,T_stat,P_value,CI_lower,CI_upper,N
H1,mean_signal_score,mean_signal_score,-22.6239,35.0903,-0.6447,0.5221,-93.1406,47.8927,69
H1,max_signal_score,max_signal_score,-14.4205,14.9536,-0.9644,0.3396,-44.4709,15.6299,69
H1,modal_signal_score,modal_signal_score,-5.0951,18.0116,-0.2829,0.7785,-41.2908,31.1006,69
H1,passage_count,passage_count,-0.5851,1.0634,-0.5502,0.5847,-2.7222,1.5519,69
H1,log_passage_count,log_passage_count,-13.8537,9.9325,-1.3948,0.1694,-33.8137,6.1063,69
H2,mean_signal_score,mean_signal_score_lag1,-5.0803,8.4171,-0.6036,0.55,-22.168,12.0074,54
H2,max_signal_score,max_signal_score_lag1,-2.8339,3.6488,-0.7767,0.4426,-10.2413,4.5735,54
H2,modal_signal_score,modal_signal_score_lag1,0.2776,7.2173,0.0385,0.9695,-14.3743,14.9296,54
H2,passage_count,passage_count_lag1,-0.2092,0.1404,-1.4901,0.1452,-0.4942,0.0758,54
H2,log_passage_count,log_passage_count_lag1,-2.3001,3.2286,-0.7124,0.4809,-8.8546,4.2544,54
H3,mean_signal_score,mean_signal_score_lag1,-0.6904,1.4646,-0.4714,0.6403,-3.6636,2.2828,54
H3,max_signal_score,max_signal_score_lag1,-1.6589,0.9834,-1.6868,0.1005,-3.6553,0.3376,54
H3,modal_signal_score,modal_signal_score_lag1,0.1244,0.828,0.1503,0.8814,-1.5565,1.8054,54
H3,passage_count,passage_count_lag1,0.0098,0.0154,0.6374,0.528,-0.0215,0.0411,54
H3,log_passage_count,log_passage_count_lag1,-0.8401,0.7747,-1.0845,0.2856,-2.4128,0.7326,54
H1,mean_signal_score_ExclZero,mean_signal_score,9.4301,25.3422,0.3721,0.7125,-42.4004,61.2606,48
H2,mean_signal_score_ExclZero,mean_signal_score_lag1,-8.2035,6.6845,-1.2272,0.2333,-22.1047,5.6977,39
H3,mean_signal_score_ExclZero,mean_signal_score_lag1,-2.0727,2.0778,-0.9975,0.3299,-6.3937,2.2484,39
