Metric,Value
passages_total,512
passages_flagged_fragmented,247
passages_flagged_pct,48.24
baseline_zero_score_n,44
baseline_zero_score_pct,63.77
baseline_mean_signal_score,0.1807
fragexcl_zero_score_n,48
fragexcl_zero_score_pct,69.57
fragexcl_mean_signal_score,0.1658
fragexcl_median_signal_score,0.0
fragexcl_sd_signal_score,0.3115
n_shift_positive_to_zero,4
n_shift_zero_to_positive,0
H1_beta,-17.4099
H1_SE,31.2897
H1_p,0.5805
H1_N,69
H2_beta,-3.6091
H2_SE,7.4664
H2_p,0.6318
H2_N,54
H3_beta,-0.8568
H3_SE,1.6227
H3_p,0.6008
H3_N,54
H3_df_resid,35
H3_TOST_bound,3.462
H3_TOST_t_lower,1.6055
H3_TOST_t_upper,2.6614
H3_TOST_p_lower,0.0587
H3_TOST_p_upper,0.0058
H3_TOST_equivalent,False
baseline_full_zero_score_n,44
baseline_full_zero_score_total,69
baseline_full_zero_score_pct,63.77
