Hypothesis,Firm_Dropped,Coefficient,Std_Error,T_stat,P_value,N,CI_lower,CI_upper,TOST_p_lower,TOST_p_upper,TOST_Equivalent
H1_Stock_Price,AO World,-27.6971,41.9818,-0.6597,0.5128,64,-112.2527,56.8586,,,
H1_Stock_Price,ASOS,-22.4058,35.0678,-0.6389,0.5261,64,-93.036,48.2243,,,
H1_Stock_Price,About You,-20.2519,36.8992,-0.5488,0.5858,65,-94.5261,54.0224,,,
H1_Stock_Price,Allegro,-25.3948,36.7624,-0.6908,0.4933,64,-99.4381,48.6484,,,
H1_Stock_Price,Boohoo,-22.7685,35.7147,-0.6375,0.527,64,-94.7015,49.1646,,,
H1_Stock_Price,Boozt,-36.4435,40.2266,-0.906,0.3698,64,-117.4641,44.577,,,
H1_Stock_Price,DocMorris,8.5421,17.6856,0.483,0.6314,64,-27.0785,44.1627,,,
H1_Stock_Price,HelloFresh,-23.6775,36.2545,-0.6531,0.517,64,-96.6979,49.3429,,,
H1_Stock_Price,Moonpig,-22.6131,37.676,-0.6002,0.5514,64,-98.4964,53.2702,,,
H1_Stock_Price,Mytheresa,-20.5351,32.3597,-0.6346,0.5289,64,-85.7109,44.6407,,,
H1_Stock_Price,Redcare Pharmacy,-16.9016,37.4603,-0.4512,0.654,64,-92.3506,58.5474,,,
H1_Stock_Price,THG,-41.1804,38.7334,-1.0632,0.2934,64,-119.1934,36.8326,,,
H1_Stock_Price,Westwing,-24.2879,34.3532,-0.707,0.4832,64,-93.4788,44.9031,,,
H1_Stock_Price,Zalando,-23.0315,36.1039,-0.6379,0.5268,64,-95.7484,49.6855,,,
H2_Revenue_Growth,AO World,-3.0419,8.8777,-0.3426,0.7341,50,-21.1252,15.0413,,,
H2_Revenue_Growth,ASOS,-6.0499,7.9967,-0.7565,0.4549,50,-22.3386,10.2389,,,
H2_Revenue_Growth,About You,-3.4814,8.3695,-0.416,0.6801,51,-20.5094,13.5465,,,
H2_Revenue_Growth,Allegro,-5.168,8.8563,-0.5835,0.5636,50,-23.2077,12.8716,,,
H2_Revenue_Growth,Boohoo,-7.8058,7.1033,-1.0989,0.28,50,-22.2747,6.6632,,,
H2_Revenue_Growth,Boozt,-3.1617,9.6262,-0.3285,0.7447,50,-22.7697,16.4462,,,
H2_Revenue_Growth,DocMorris,-13.0608,8.1618,-1.6002,0.1194,50,-29.6858,3.5641,,,
H2_Revenue_Growth,HelloFresh,-5.7529,8.0659,-0.7132,0.4809,50,-22.1825,10.6767,,,
H2_Revenue_Growth,Moonpig,-2.3524,8.5961,-0.2737,0.7861,50,-19.862,15.1573,,,
H2_Revenue_Growth,Mytheresa,-3.9791,9.6564,-0.4121,0.683,50,-23.6485,15.6903,,,
H2_Revenue_Growth,Redcare Pharmacy,-4.9965,9.0485,-0.5522,0.5847,50,-23.4276,13.4346,,,
H2_Revenue_Growth,THG,-3.3264,11.1336,-0.2988,0.767,50,-26.0047,19.3519,,,
H2_Revenue_Growth,Westwing,-4.4913,8.5194,-0.5272,0.6017,50,-21.8448,12.8622,,,
H2_Revenue_Growth,Zalando,-6.6626,9.0189,-0.7387,0.4653,51,-25.0116,11.6865,,,
H3_Gross_Margin,AO World,-0.5484,1.6664,-0.3291,0.7442,50,-3.9427,2.8458,0.045,0.011,True
H3_Gross_Margin,ASOS,-0.7509,1.6152,-0.4649,0.6452,50,-4.041,2.5393,0.0515,0.0069,False
H3_Gross_Margin,About You,-0.5607,1.5241,-0.3679,0.7153,51,-3.6615,2.5401,0.0329,0.0063,True
H3_Gross_Margin,Allegro,-0.4976,1.8182,-0.2737,0.7861,50,-4.201,3.2059,0.0564,0.0185,False
H3_Gross_Margin,Boohoo,-0.9386,1.3607,-0.6898,0.4953,50,-3.7103,1.8331,0.0365,0.0014,True
H3_Gross_Margin,Boozt,-1.3359,1.772,-0.7539,0.4564,50,-4.9454,2.2735,0.1195,0.0054,False
H3_Gross_Margin,DocMorris,-1.1504,1.9333,-0.595,0.556,50,-5.0883,2.7875,0.1203,0.0116,False
H3_Gross_Margin,HelloFresh,-0.9015,1.4677,-0.6142,0.5434,50,-3.8912,2.0882,0.0453,0.0028,True
H3_Gross_Margin,Moonpig,0.4282,0.9919,0.4317,0.6688,50,-1.5922,2.4485,0.0002,0.0022,True
H3_Gross_Margin,Mytheresa,-0.9241,1.5105,-0.6118,0.545,50,-4.001,2.1527,0.0513,0.0033,False
H3_Gross_Margin,Redcare Pharmacy,-0.6007,1.522,-0.3947,0.6957,50,-3.7009,2.4995,0.0346,0.0059,True
H3_Gross_Margin,THG,-0.4559,1.5457,-0.2949,0.7699,50,-3.6043,2.6926,0.0303,0.0082,True
H3_Gross_Margin,Westwing,-0.5996,1.5427,-0.3887,0.7001,50,-3.742,2.5427,0.0364,0.0065,True
H3_Gross_Margin,Zalando,-0.8105,1.4873,-0.5449,0.5895,51,-3.8364,2.2154,0.0419,0.0035,True
