Model,Type,DV,IV,Control,Coefficient,Std_Error,T_stat,P_value,CI_lower,CI_upper,N_obs,R2_within
H1_Stock_Price,Primary,Stock_Price_Movement_%,mean_signal_score,log_revenue,-22.6239,35.0903,-0.6447,0.5221,-93.1406,47.8927,69,0.0194
H2_Revenue_Growth,Primary,Revenue_Growth_%,signal_lag1,log_revenue_lag1,-5.0803,8.4171,-0.6036,0.55,-22.168,12.0074,54,0.2326
H3_Gross_Margin,Primary,Gross_Margin_%,signal_lag1,log_revenue_lag1,-0.6904,1.4646,-0.4714,0.6403,-3.6636,2.2828,54,0.0064
H1_Stock_Price,Primary: lag-1 (matches H2/H3 primary spec),Stock_Price_Movement_%,signal_lag1,log_revenue_lag1,-11.7093,29.0452,-0.4031,0.6893,-70.6743,47.2557,54,0.0388
H2_Revenue_Growth,Robustness: Zalando 2025 included,Revenue_Growth_%,signal_lag1,log_revenue_lag1,-2.9126,8.3732,-0.3478,0.73,-19.8942,14.069,55,0.2239
H3_Gross_Margin,Robustness: Zalando 2025 included,Gross_Margin_%,signal_lag1,log_revenue_lag1,-0.8442,1.4882,-0.5673,0.5741,-3.8623,2.1739,55,0.008
H2_Revenue_Growth,Robustness: Excl. DocMorris 2023,Revenue_Growth_%,signal_lag1,log_revenue_lag1,-4.6263,8.8842,-0.5207,0.6059,-22.6811,13.4285,53,0.2209
H3_Gross_Margin,Robustness: Excl. DocMorris 2023,Gross_Margin_%,signal_lag1,log_revenue_lag1,-0.5725,1.5633,-0.3662,0.7165,-3.7495,2.6046,53,0.0045
H2_Revenue_Growth,Robustness: Excl. DocMorris entirely,Revenue_Growth_%,signal_lag1,log_revenue_lag1,-13.0608,8.1618,-1.6002,0.1194,-29.6858,3.5641,50,0.1582
H3_Gross_Margin,Robustness: Excl. DocMorris entirely,Gross_Margin_%,signal_lag1,log_revenue_lag1,-1.1504,1.9333,-0.595,0.556,-5.0883,2.7875,50,0.0049
H2_Revenue_Growth,Robustness: Excl. Boohoo,Revenue_Growth_%,signal_lag1,log_revenue_lag1,-7.8058,7.1033,-1.0989,0.28,-22.2747,6.6632,50,0.3697
H3_Gross_Margin,Robustness: Excl. Boohoo,Gross_Margin_%,signal_lag1,log_revenue_lag1,-0.9386,1.3607,-0.6898,0.4953,-3.7103,1.8331,50,0.0335
H2_Revenue_Growth,Robustness: Excl. DocMorris 2023 + Boohoo,Revenue_Growth_%,signal_lag1,log_revenue_lag1,-7.6041,7.3572,-1.0336,0.3093,-22.6092,7.401,49,0.3569
H3_Gross_Margin,Robustness: Excl. DocMorris 2023 + Boohoo,Gross_Margin_%,signal_lag1,log_revenue_lag1,-0.8812,1.456,-0.6053,0.5494,-3.8507,2.0882,49,0.0301
H2_Revenue_Growth,Robustness: Excl. DocMorris entirely + Boohoo,Revenue_Growth_%,signal_lag1,log_revenue_lag1,-15.3376,4.7414,-3.2348,0.003,-25.0349,-5.6402,46,0.2784
H3_Gross_Margin,Robustness: Excl. DocMorris entirely + Boohoo,Gross_Margin_%,signal_lag1,log_revenue_lag1,-1.1542,1.8667,-0.6183,0.5412,-4.972,2.6637,46,0.0239
H1_Stock_Price,Robustness: Excl. DocMorris 2023,Stock_Price_Movement_%,mean_signal_score,log_revenue,-6.7035,23.551,-0.2846,0.7771,-54.056,40.649,68,0.0018
H1_Stock_Price,Robustness: Excl. DocMorris entirely,Stock_Price_Movement_%,mean_signal_score,log_revenue,8.5421,17.6856,0.483,0.6314,-27.0785,44.1627,64,0.0075
H1_Stock_Price,Robustness: Excl. Boohoo,Stock_Price_Movement_%,mean_signal_score,log_revenue,-22.7685,35.7147,-0.6375,0.527,-94.7015,49.1646,64,0.0205
H1_Stock_Price,Robustness: Excl. DocMorris 2023 + Boohoo,Stock_Price_Movement_%,mean_signal_score,log_revenue,-6.353,23.7882,-0.2671,0.7907,-54.2949,41.5889,63,0.0018
H1_Stock_Price,Robustness: Excl. DocMorris entirely + Boohoo,Stock_Price_Movement_%,mean_signal_score,log_revenue,9.1138,18.0387,0.5052,0.6161,-27.3161,45.5436,59,0.0129
H1_Stock_Price,Robustness: log_revenue_lag1 symmetry check,Stock_Price_Movement_%,mean_signal_score,log_revenue_lag1,-43.2465,41.6496,-1.0383,0.306,-127.7157,41.2227,55,0.0848
