Model,IV,Coefficient,Std_Error,T_stat,P_value,CI_lower,CI_upper,N,R2_within,df_resid,bound,t_lower,t_upper,p_lower,p_upper,CI90_lower,CI90_upper,Equivalent
H1_NewPrimary_Lag1_LagControl,signal_lag1,-11.7093,29.0452,-0.4031,0.6893,-70.6743,47.2557,54,0.0388,35.0,,,,,,,,
H1_Lag1Signal_ContempControl,signal_lag1,-10.6152,27.8271,-0.3815,0.7052,-67.1073,45.8769,54,0.006,35.0,,,,,,,,
H1_Supplementary_Contemporaneous,mean_signal_score,-22.6239,35.0903,-0.6447,0.5221,-93.1406,47.8927,69,0.0194,49.0,,,,,,,,
H1_NewPrimary_TOST,signal_lag1,-11.7093,29.0452,,,,,54,,35.0,10.512,-0.0412,0.7651,0.5163,0.2247,-60.7833,37.3647,False
H1_NewPrimary_LOO_excl_AO World,signal_lag1,-20.0419,25.9682,-0.7718,0.4459,-72.9374,32.8536,50,,,,,,,,,,
H1_NewPrimary_LOO_excl_ASOS,signal_lag1,-11.5082,29.6902,-0.3876,0.7009,-71.9852,48.9687,50,,,,,,,,,,
H1_NewPrimary_LOO_excl_About You,signal_lag1,-18.9603,30.1602,-0.6287,0.5339,-80.3217,42.4012,51,,,,,,,,,,
H1_NewPrimary_LOO_excl_Allegro,signal_lag1,-6.4291,32.0918,-0.2003,0.8425,-71.798,58.9398,50,,,,,,,,,,
H1_NewPrimary_LOO_excl_Boohoo,signal_lag1,-13.451,30.1772,-0.4457,0.6588,-74.9199,48.0179,50,,,,,,,,,,
H1_NewPrimary_LOO_excl_Boozt,signal_lag1,-18.8194,29.5829,-0.6362,0.5292,-79.0778,41.439,50,,,,,,,,,,
H1_NewPrimary_LOO_excl_DocMorris,signal_lag1,12.8619,31.7558,0.405,0.6882,-51.8225,77.5463,50,,,,,,,,,,
H1_NewPrimary_LOO_excl_HelloFresh,signal_lag1,-11.6266,29.236,-0.3977,0.6935,-71.1784,47.9252,50,,,,,,,,,,
H1_NewPrimary_LOO_excl_Moonpig,signal_lag1,-8.3881,30.867,-0.2718,0.7876,-71.2621,54.4859,50,,,,,,,,,,
H1_NewPrimary_LOO_excl_Mytheresa,signal_lag1,-7.7416,29.9629,-0.2584,0.7978,-68.7739,53.2908,50,,,,,,,,,,
H1_NewPrimary_LOO_excl_Redcare Pharmacy,signal_lag1,-8.4242,31.1221,-0.2707,0.7884,-71.8178,54.9694,50,,,,,,,,,,
H1_NewPrimary_LOO_excl_THG,signal_lag1,-8.5457,39.5904,-0.2159,0.8305,-89.1888,72.0974,50,,,,,,,,,,
H1_NewPrimary_LOO_excl_Westwing,signal_lag1,-10.5784,27.5985,-0.3833,0.704,-66.7948,45.6379,50,,,,,,,,,,
H1_NewPrimary_LOO_excl_Zalando,signal_lag1,-25.2573,24.9929,-1.0106,0.3196,-76.1057,25.5911,51,,,,,,,,,,
