Hypothesis,Model,IV,Coefficient,Std_Error,T_stat,P_value,CI_lower,CI_upper,N,R2_within
H1,Model1_extensive,discloses_ai,-33.8223,21.0122,-1.6097,0.1139,-76.0478,8.4033,69,0.0866
H1,Model2_intensive,conditional_signal,9.4301,25.3422,0.3721,0.7125,-42.4004,61.2606,48,0.0394
H1,Model3_both,discloses_ai,-32.414,20.9605,-1.5464,0.1286,-74.5579,9.7299,69,0.0877
H1,Model3_both,conditional_signal_filled,-6.4366,32.4789,-0.1982,0.8437,-71.7399,58.8667,69,0.0877
H2,Model1_extensive,discloses_ai_lag1,-6.1802,7.6396,-0.809,0.424,-21.6894,9.329,54,0.2528
H2,Model2_intensive,conditional_signal_lag1,-9.0635,11.915,-0.7607,0.4579,-34.3223,16.1953,34,0.6637
H2,Model3_both,discloses_ai_lag1,-5.8857,8.7039,-0.6762,0.5035,-23.5741,11.8027,54,0.2534
H2,Model3_both,conditional_signal_filled_lag1,-1.7588,10.8984,-0.1614,0.8727,-23.907,20.3894,54,0.2534
H3,Model1_extensive,discloses_ai_lag1,-1.6316,2.0429,-0.7987,0.4299,-5.7789,2.5156,54,0.0482
H3,Model2_intensive,conditional_signal_lag1,1.3555,3.5297,0.384,0.706,-6.1271,8.8381,34,0.014
H3,Model3_both,discloses_ai_lag1,-1.6742,2.2804,-0.7342,0.4679,-6.3086,2.9601,54,0.0485
H3,Model3_both,conditional_signal_filled_lag1,0.2544,1.9065,0.1334,0.8946,-3.62,4.1289,54,0.0485
