firm,year,n_headlines,mean_sentiment,modal_sentiment
Zalando,2021,0,,
Zalando,2022,0,,
Zalando,2023,0,,
Zalando,2024,0,,
Zalando,2025,0,,
ASOS,2021,0,,
ASOS,2022,0,,
ASOS,2023,0,,
ASOS,2024,0,,
ASOS,2025,0,,
Boohoo,2021,0,,
Boohoo,2022,0,,
Boohoo,2023,0,,
Boohoo,2024,0,,
Boohoo,2025,0,,
Mytheresa,2021,0,,
Mytheresa,2022,0,,
Mytheresa,2023,0,,
Mytheresa,2024,0,,
Mytheresa,2025,0,,
Allegro,2021,0,,
Allegro,2022,0,,
Allegro,2023,0,,
Allegro,2024,0,,
Allegro,2025,0,,
THG,2021,0,,
THG,2022,0,,
THG,2023,0,,
THG,2024,0,,
THG,2025,0,,
HelloFresh,2021,0,,
HelloFresh,2022,0,,
HelloFresh,2023,0,,
HelloFresh,2024,0,,
HelloFresh,2025,0,,
Westwing,2021,0,,
Westwing,2022,0,,
Westwing,2023,0,,
Westwing,2024,0,,
Westwing,2025,0,,
Boozt,2021,0,,
Boozt,2022,0,,
Boozt,2023,0,,
Boozt,2024,0,,
Boozt,2025,0,,
Redcare Pharmacy,2021,0,,
Redcare Pharmacy,2022,0,,
Redcare Pharmacy,2023,0,,
Redcare Pharmacy,2024,0,,
Redcare Pharmacy,2025,0,,
Moonpig,2021,0,,
Moonpig,2022,0,,
Moonpig,2023,0,,
Moonpig,2024,0,,
Moonpig,2025,0,,
AO World,2021,0,,
AO World,2022,0,,
AO World,2023,0,,
AO World,2024,0,,
AO World,2025,0,,
DocMorris,2021,0,,
DocMorris,2022,0,,
DocMorris,2023,0,,
DocMorris,2024,0,,
DocMorris,2025,0,,
About You,2021,0,,
About You,2022,0,,
About You,2023,0,,
About You,2024,0,,
